Comment,Designator,Footprint,LCSC,Quantity
100pF,"C11,C3,C8",C_0805_2012Metric,C123146,3
10k,"R10,R11,R12,R13,R14,R15,R2,R3,R4,R5,R8,R9",R_0805_2012Metric,C9900234692,12
10uF,"C12,C13,C14,C5,C6,C9",C_0805_2012Metric,C356840,6
1k,R1,R_0805_2012Metric,C9900143942,1
1uF,"C10,C4,C7",C_0805_2012Metric,C141772,3
200,"R6,R7",R_0805_2012Metric,C2889551,2
22pF,"C1,C2",C_0805_2012Metric,C123150,2
ATSAMD21E17A-A,U4,TQFP-32_7x7mm_P0.8mm,C1337408,1
BZX 84-C4V7,D2,SOT-23,C143853,1
LED gn,D3,LED_0805_2012Metric,C2297,1
LED rt,D4,LED_0805_2012Metric,C84256,1
MCP1700x-120xxTT,U3,SOT-23,C39051,1
MCP2515-xSO,U1,SOIC-18W_7.5x11.6mm_P1.27mm,C12368,1
NX2301P,Q1,SOT-23,C551594,1
TJA1051T,U2,SOIC-8_3.9x4.9mm_P1.27mm,C38695,1
PESD1CAN,D5,SOT-23,,1
