Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0805_2012Metric,21.997269,17.67265,180.0,top
C10,1uF,C_0805_2012Metric,0.98,1.016,-90.0,top
C11,100pF,C_0805_2012Metric,-1.306,1.016,-90.0,top
C12,10uF,C_0805_2012Metric,-16.5094,-19.9746,90.0,top
C13,10uF,C_0805_2012Metric,-20.7878,-18.603,180.0,top
C14,10uF,C_0805_2012Metric,-8.799,-31.176,180.0,top
C2,22pF,C_0805_2012Metric,17.552269,17.67265,0.0,top
C3,100pF,C_0805_2012Metric,28.867,4.342,180.0,top
C4,1uF,C_0805_2012Metric,28.867,2.056,180.0,top
C5,10uF,C_0805_2012Metric,28.867,-0.23,180.0,top
C6,10uF,C_0805_2012Metric,24.803,-22.2606,-135.0,top
C7,1uF,C_0805_2012Metric,26.163249,-18.173751,45.0,top
C8,100pF,C_0805_2012Metric,23.396849,-20.849551,-135.0,top
C9,10uF,C_0805_2012Metric,3.266,1.016,-90.0,top
D2,BZX 84-C4V7,SOT-23,-21.8038,-15.3264,0.0,top
D3,LED gn,LED_0805_2012Metric,-16.292,16.576,0.0,top
D4,LED rt,LED_0805_2012Metric,-16.292,18.989,0.0,top
D5,PESD1CAN,SOT-23,-21.2869,8.9554,0.0,top
Q1,NX2301P,SOT-23,-17.6128,-15.3264,0.0,top
R1,1k,R_0805_2012Metric,11.648,28.768,0.0,top
R10,10k,R_0805_2012Metric,24.791269,-5.141,180.0,top
R11,10k,R_0805_2012Metric,11.583269,25.41965,0.0,top
R12,10k,R_0805_2012Metric,11.583269,22.11765,0.0,top
R13,10k,R_0805_2012Metric,11.583269,18.68865,0.0,top
R14,10k,R_0805_2012Metric,10.281,-27.493,0.0,top
R15,10k,R_0805_2012Metric,10.378,-18.095,0.0,top
R2,10k,R_0805_2012Metric,28.827969,-8.64175,180.0,top
R3,10k,R_0805_2012Metric,-11.974,-4.125,0.0,top
R4,10k,R_0805_2012Metric,-27.2394,13.8582,90.0,top
R5,10k,R_0805_2012Metric,-22.6166,-11.3386,-90.0,top
R6,200,R_0805_2012Metric,-16.292,21.275,180.0,top
R7,200,R_0805_2012Metric,-16.292,14.29,180.0,top
R8,10k,R_0805_2012Metric,10.3545,-21.227667,0.0,top
R9,10k,R_0805_2012Metric,10.378,-24.360333,0.0,top
U1,MCP2515-xSO,SOIC-18W_7.5x11.6mm_P1.27mm,20.993,2.31,-90.0,top
U2,TJA1051T,SOIC-8_3.9x4.9mm_P1.27mm,-7.2242,-0.0102,180.0,top
U3,MCP1700x-120xxTT,SOT-23,-8.799,-27.92035,90.0,top
U4,ATSAMD21E17A-A,TQFP-32_7x7mm_P0.8mm,20.346269,-12.42635,64.0,top
