Designator,Mid X,Mid Y,Rotation,Layer
C1,21.997269,17.67265,180.0,top
C10,-9.053,9.083,90.0,top
C11,-11.085,9.083,90.0,top
C12,-16.5094,-19.9746,90.0,top
C13,-20.7878,-18.603,180.0,top
C14,-8.799,-31.176,180.0,top
C2,17.552269,17.67265,0.0,top
C3,28.867,4.342,180.0,top
C4,28.867,2.056,180.0,top
C5,28.867,-0.23,180.0,top
C6,24.803,-22.2606,225.0,top
C7,26.163249,-18.173751,45.0,top
C8,23.396849,-20.849551,225.0,top
C9,-7.021,9.083,90.0,top
D2,-21.8038,-15.3264,180.0,top
D3,-16.292,16.576,0.0,top
D4,-16.292,18.989,0.0,top
D5,-21.2869,8.9554,180.0,top
Q1,-17.6128,-15.3264,180.0,top
R1,11.648,28.768,0.0,top
R10,24.791269,-5.141,180.0,top
R11,11.583269,25.41965,0.0,top
R12,11.583269,22.11765,0.0,top
R13,11.583269,18.68865,0.0,top
R14,8.727,-27.239,0.0,top
R15,8.727,-18.095,0.0,top
R2,28.827969,-8.64175,180.0,top
R3,-11.974,-4.125,0.0,top
R4,-27.2394,13.8582,90.0,top
R5,-22.6166,-11.3386,270.0,top
R6,-16.292,21.275,180.0,top
R7,-16.292,14.29,180.0,top
R8,8.727,-21.143,0.0,top
R9,8.727,-24.191,0.0,top
U1,20.993,2.31,180.0,top
U2,-7.2242,-0.0102,90.0,top
U3,-8.799,-27.92035,270.0,top
U4,20.346269,-12.42635,334.0,top
